"","Year","Month","Total","ds","meter","consumption"
"1",2007,1,1149.8795,2007-01-01,"Kitchen",56.433
"2",2007,2,941.5321,2007-02-01,"Kitchen",47.584
"3",2007,3,976.5174,2007-03-01,"Kitchen",60.758
"4",2007,4,589.552533333333,2007-04-01,"Kitchen",41.591
"5",2007,5,733.235833333333,2007-05-01,"Kitchen",76.235
"6",2007,6,593.688233333333,2007-06-01,"Kitchen",59.672
"7",2007,7,496.875833333333,2007-07-01,"Kitchen",43.052
"8",2007,8,567.108566666667,2007-08-01,"Kitchen",35.834
"9",2007,9,697.305266666667,2007-09-01,"Kitchen",53.258
"10",2007,10,823.7618,2007-10-01,"Kitchen",43.218
"11",2007,11,931.9192,2007-11-01,"Kitchen",50.823
"12",2007,12,1208.8101,2007-12-01,"Kitchen",74.09
"13",2008,1,1085.08543333333,2008-01-01,"Kitchen",61.761
"14",2008,2,824.321533333333,2008-02-01,"Kitchen",40.192
"15",2008,3,923.250333333333,2008-03-01,"Kitchen",62.568
"16",2008,4,806.6246,2008-04-01,"Kitchen",47.622
"17",2008,5,759.243466666667,2008-05-01,"Kitchen",53.084
"18",2008,6,717.8899,2008-06-01,"Kitchen",68.728
"19",2008,7,587.681866666667,2008-07-01,"Kitchen",47.313
"20",2008,8,207.358166666667,2008-08-01,"Kitchen",3.873
"21",2008,9,711.9782,2008-09-01,"Kitchen",51.856
"22",2008,10,846.871666666667,2008-10-01,"Kitchen",44.613
"23",2008,11,997.300166666667,2008-11-01,"Kitchen",58.067
"24",2008,12,948.320866666667,2008-12-01,"Kitchen",45.107
"25",2009,1,1046.63843333333,2009-01-01,"Kitchen",74.65
"26",2009,2,838.851066666667,2009-02-01,"Kitchen",47.099
"27",2009,3,912.903,2009-03-01,"Kitchen",64.645
"28",2009,4,817.095366666667,2009-04-01,"Kitchen",54.506
"29",2009,5,755.282833333333,2009-05-01,"Kitchen",43.047
"30",2009,6,561.477733333333,2009-06-01,"Kitchen",31.885
"31",2009,7,460.083033333333,2009-07-01,"Kitchen",18.226
"32",2009,8,483.4393,2009-08-01,"Kitchen",33.48
"33",2009,9,708.7222,2009-09-01,"Kitchen",51.653
"34",2009,10,854.7793,2009-10-01,"Kitchen",55.22
"35",2009,11,917.721766666667,2009-11-01,"Kitchen",60.445
"36",2009,12,1013.81086666667,2009-12-01,"Kitchen",57.801
"37",2010,1,990.465166666667,2010-01-01,"Kitchen",53.887
"38",2010,2,925.0694,2010-02-01,"Kitchen",49.268
"39",2010,3,801.275433333333,2010-03-01,"Kitchen",35.089
"40",2010,4,740.489033333333,2010-04-01,"Kitchen",38.196
"41",2010,5,813.784066666667,2010-05-01,"Kitchen",48.107
"42",2010,6,696.291133333333,2010-06-01,"Kitchen",65.349
"43",2010,7,539.536033333333,2010-07-01,"Kitchen",18.065
"44",2010,8,367.7689,2010-08-01,"Kitchen",12.499
"45",2010,9,605.130533333333,2010-09-01,"Kitchen",36.865
"46",2010,10,864.788033333333,2010-10-01,"Kitchen",48.199
"47",2010,11,745.344466666667,2010-11-01,"Kitchen",46.162
"48",2007,1,1149.8795,2007-01-01,"Laundry Room",79.251
"49",2007,2,941.5321,2007-02-01,"Laundry Room",64.623
"50",2007,3,976.5174,2007-03-01,"Laundry Room",104.675
"51",2007,4,589.552533333333,2007-04-01,"Laundry Room",38.446
"52",2007,5,733.235833333333,2007-05-01,"Laundry Room",72.151
"53",2007,6,593.688233333333,2007-06-01,"Laundry Room",69.981
"54",2007,7,496.875833333333,2007-07-01,"Laundry Room",55.734
"55",2007,8,567.108566666667,2007-08-01,"Laundry Room",49.642
"56",2007,9,697.305266666667,2007-09-01,"Laundry Room",75.273
"57",2007,10,823.7618,2007-10-01,"Laundry Room",87.966
"58",2007,11,931.9192,2007-11-01,"Laundry Room",73.687
"59",2007,12,1208.8101,2007-12-01,"Laundry Room",82.927
"60",2008,1,1085.08543333333,2008-01-01,"Laundry Room",62.876
"61",2008,2,824.321533333333,2008-02-01,"Laundry Room",56.685
"62",2008,3,923.250333333333,2008-03-01,"Laundry Room",79.219
"63",2008,4,806.6246,2008-04-01,"Laundry Room",70.857
"64",2008,5,759.243466666667,2008-05-01,"Laundry Room",58.888
"65",2008,6,717.8899,2008-06-01,"Laundry Room",63.5
"66",2008,7,587.681866666667,2008-07-01,"Laundry Room",43.553
"67",2008,8,207.358166666667,2008-08-01,"Laundry Room",23.068
"68",2008,9,711.9782,2008-09-01,"Laundry Room",44.666
"69",2008,10,846.871666666667,2008-10-01,"Laundry Room",63.251
"70",2008,11,997.300166666667,2008-11-01,"Laundry Room",55.858
"71",2008,12,948.320866666667,2008-12-01,"Laundry Room",39.456
"72",2009,1,1046.63843333333,2009-01-01,"Laundry Room",72.984
"73",2009,2,838.851066666667,2009-02-01,"Laundry Room",50.681
"74",2009,3,912.903,2009-03-01,"Laundry Room",48.348
"75",2009,4,817.095366666667,2009-04-01,"Laundry Room",52.65
"76",2009,5,755.282833333333,2009-05-01,"Laundry Room",50.094
"77",2009,6,561.477733333333,2009-06-01,"Laundry Room",29.789
"78",2009,7,460.083033333333,2009-07-01,"Laundry Room",42.418
"79",2009,8,483.4393,2009-08-01,"Laundry Room",38.298
"80",2009,9,708.7222,2009-09-01,"Laundry Room",45.985
"81",2009,10,854.7793,2009-10-01,"Laundry Room",53.967
"82",2009,11,917.721766666667,2009-11-01,"Laundry Room",53.473
"83",2009,12,1013.81086666667,2009-12-01,"Laundry Room",53.49
"84",2010,1,990.465166666667,2010-01-01,"Laundry Room",56.568
"85",2010,2,925.0694,2010-02-01,"Laundry Room",53.566
"86",2010,3,801.275433333333,2010-03-01,"Laundry Room",60.795
"87",2010,4,740.489033333333,2010-04-01,"Laundry Room",36.468
"88",2010,5,813.784066666667,2010-05-01,"Laundry Room",52.455
"89",2010,6,696.291133333333,2010-06-01,"Laundry Room",47.699
"90",2010,7,539.536033333333,2010-07-01,"Laundry Room",34.322
"91",2010,8,367.7689,2010-08-01,"Laundry Room",26.986
"92",2010,9,605.130533333333,2010-09-01,"Laundry Room",32.548
"93",2010,10,864.788033333333,2010-10-01,"Laundry Room",60.22
"94",2010,11,745.344466666667,2010-11-01,"Laundry Room",42.282
"95",2007,1,1149.8795,2007-01-01,"Hot water/AC",329.578
"96",2007,2,941.5321,2007-02-01,"Hot water/AC",270.274
"97",2007,3,976.5174,2007-03-01,"Hot water/AC",288.235
"98",2007,4,589.552533333333,2007-04-01,"Hot water/AC",191.629
"99",2007,5,733.235833333333,2007-05-01,"Hot water/AC",228.526
"100",2007,6,593.688233333333,2007-06-01,"Hot water/AC",189.615
"101",2007,7,496.875833333333,2007-07-01,"Hot water/AC",154.973
"102",2007,8,567.108566666667,2007-08-01,"Hot water/AC",225.277
"103",2007,9,697.305266666667,2007-09-01,"Hot water/AC",224.435
"104",2007,10,823.7618,2007-10-01,"Hot water/AC",258.185
"105",2007,11,931.9192,2007-11-01,"Hot water/AC",299.69
"106",2007,12,1208.8101,2007-12-01,"Hot water/AC",361.356
"107",2008,1,1085.08543333333,2008-01-01,"Hot water/AC",312.164
"108",2008,2,824.321533333333,2008-02-01,"Hot water/AC",256.996
"109",2008,3,923.250333333333,2008-03-01,"Hot water/AC",277.537
"110",2008,4,806.6246,2008-04-01,"Hot water/AC",297.73
"111",2008,5,759.243466666667,2008-05-01,"Hot water/AC",290.044
"112",2008,6,717.8899,2008-06-01,"Hot water/AC",289.822
"113",2008,7,587.681866666667,2008-07-01,"Hot water/AC",227.057
"114",2008,8,207.358166666667,2008-08-01,"Hot water/AC",78.437
"115",2008,9,711.9782,2008-09-01,"Hot water/AC",286.485
"116",2008,10,846.871666666667,2008-10-01,"Hot water/AC",276.021
"117",2008,11,997.300166666667,2008-11-01,"Hot water/AC",279.715
"118",2008,12,948.320866666667,2008-12-01,"Hot water/AC",308.246
"119",2009,1,1046.63843333333,2009-01-01,"Hot water/AC",328.521
"120",2009,2,838.851066666667,2009-02-01,"Hot water/AC",296.735
"121",2009,3,912.903,2009-03-01,"Hot water/AC",329.213
"122",2009,4,817.095366666667,2009-04-01,"Hot water/AC",305.811
"123",2009,5,755.282833333333,2009-05-01,"Hot water/AC",312.27
"124",2009,6,561.477733333333,2009-06-01,"Hot water/AC",260.554
"125",2009,7,460.083033333333,2009-07-01,"Hot water/AC",187.949
"126",2009,8,483.4393,2009-08-01,"Hot water/AC",192.081
"127",2009,9,708.7222,2009-09-01,"Hot water/AC",295.843
"128",2009,10,854.7793,2009-10-01,"Hot water/AC",328.312
"129",2009,11,917.721766666667,2009-11-01,"Hot water/AC",335.532
"130",2009,12,1013.81086666667,2009-12-01,"Hot water/AC",382.896
"131",2010,1,990.465166666667,2010-01-01,"Hot water/AC",396.971
"132",2010,2,925.0694,2010-02-01,"Hot water/AC",411.716
"133",2010,3,801.275433333333,2010-03-01,"Hot water/AC",324.151
"134",2010,4,740.489033333333,2010-04-01,"Hot water/AC",336.168
"135",2010,5,813.784066666667,2010-05-01,"Hot water/AC",364.256
"136",2010,6,696.291133333333,2010-06-01,"Hot water/AC",307.258
"137",2010,7,539.536033333333,2010-07-01,"Hot water/AC",192.914
"138",2010,8,367.7689,2010-08-01,"Hot water/AC",160.208
"139",2010,9,605.130533333333,2010-09-01,"Hot water/AC",257.909
"140",2010,10,864.788033333333,2010-10-01,"Hot water/AC",315.053
"141",2010,11,745.344466666667,2010-11-01,"Hot water/AC",247.868
"142",2007,1,1149.8795,2007-01-01,"Other",684.6175
"143",2007,2,941.5321,2007-02-01,"Other",559.0511
"144",2007,3,976.5174,2007-03-01,"Other",522.8494
"145",2007,4,589.552533333333,2007-04-01,"Other",317.886533333333
"146",2007,5,733.235833333333,2007-05-01,"Other",356.323833333333
"147",2007,6,593.688233333333,2007-06-01,"Other",274.420233333333
"148",2007,7,496.875833333333,2007-07-01,"Other",243.116833333333
"149",2007,8,567.108566666667,2007-08-01,"Other",256.355566666667
"150",2007,9,697.305266666667,2007-09-01,"Other",344.339266666667
"151",2007,10,823.7618,2007-10-01,"Other",434.3928
"152",2007,11,931.9192,2007-11-01,"Other",507.7192
"153",2007,12,1208.8101,2007-12-01,"Other",690.4371
"154",2008,1,1085.08543333333,2008-01-01,"Other",648.284433333333
"155",2008,2,824.321533333333,2008-02-01,"Other",470.448533333333
"156",2008,3,923.250333333333,2008-03-01,"Other",503.926333333333
"157",2008,4,806.6246,2008-04-01,"Other",390.4156
"158",2008,5,759.243466666667,2008-05-01,"Other",357.227466666667
"159",2008,6,717.8899,2008-06-01,"Other",295.8399
"160",2008,7,587.681866666667,2008-07-01,"Other",269.758866666667
"161",2008,8,207.358166666667,2008-08-01,"Other",101.980166666667
"162",2008,9,711.9782,2008-09-01,"Other",328.9712
"163",2008,10,846.871666666667,2008-10-01,"Other",462.986666666667
"164",2008,11,997.300166666667,2008-11-01,"Other",603.660166666667
"165",2008,12,948.320866666667,2008-12-01,"Other",555.511866666667
"166",2009,1,1046.63843333333,2009-01-01,"Other",570.483433333333
"167",2009,2,838.851066666667,2009-02-01,"Other",444.336066666667
"168",2009,3,912.903,2009-03-01,"Other",470.697
"169",2009,4,817.095366666667,2009-04-01,"Other",404.128366666667
"170",2009,5,755.282833333333,2009-05-01,"Other",349.871833333333
"171",2009,6,561.477733333333,2009-06-01,"Other",239.249733333333
"172",2009,7,460.083033333333,2009-07-01,"Other",211.490033333333
"173",2009,8,483.4393,2009-08-01,"Other",219.5803
"174",2009,9,708.7222,2009-09-01,"Other",315.2412
"175",2009,10,854.7793,2009-10-01,"Other",417.2803
"176",2009,11,917.721766666667,2009-11-01,"Other",468.271766666667
"177",2009,12,1013.81086666667,2009-12-01,"Other",519.623866666667
"178",2010,1,990.465166666667,2010-01-01,"Other",483.039166666667
"179",2010,2,925.0694,2010-02-01,"Other",410.5194
"180",2010,3,801.275433333333,2010-03-01,"Other",381.240433333333
"181",2010,4,740.489033333333,2010-04-01,"Other",329.657033333333
"182",2010,5,813.784066666667,2010-05-01,"Other",348.966066666667
"183",2010,6,696.291133333333,2010-06-01,"Other",275.985133333333
"184",2010,7,539.536033333333,2010-07-01,"Other",294.235033333333
"185",2010,8,367.7689,2010-08-01,"Other",168.0759
"186",2010,9,605.130533333333,2010-09-01,"Other",277.808533333333
"187",2010,10,864.788033333333,2010-10-01,"Other",441.316033333333
"188",2010,11,745.344466666667,2010-11-01,"Other",409.032466666667
